SN,x,y,species,code,dia_cm,height_m,class
1750,308064,3033827,Acacia catechu,,63,21,3
1751,309136,3033475,Adina cardifolia,,13,20,2
1752,307945,3033502,Albizia spp,,28,17,4
1753,309223,3033280,Alnus nepalensis,,96,27,4
1754,307925,3033446,Anogeissus latifolia,,31,17,2
1755,308778,3033475,Bombax ceiba,,32,22,4
1756,308514,3034024,Cedrela toona,,67,30,4
1757,308349,3033964,Abies spp,,44,28,3
1758,309149,3033131,Acacia catechu,,19,19,1
1759,309399,3033586,Adina cardifolia,,99,27,4
1760,308373,3033946,Albizia spp,,11,24,2
1761,308479,3034158,Alnus nepalensis,,62,29,1
1762,308156,3033651,Anogeissus latifolia,,59,29,4
1763,308742,3033334,Bombax ceiba,,36,29,3
1764,308343,3034091,Cedrela toona,,62,25,2
1765,308541,3033735,Dalbergia sissoo,,29,25,1
1766,309231,3033214,Eugenia Jambolana,,78,19,3
1767,309077,3033594,Hymenodictyon excelsum,,58,29,2
1768,308957,3033466,Lagerstroemia parviflora,,35,26,4
1769,308518,3033497,Michelia champaca,,54,24,2
1770,308478,3033759,Pinus roxburghii,,27,18,3
1771,308516,3033960,Pinus wallichiana,,21,30,1
1772,307962,3033401,Quercus spp,,86,28,4
1773,308943,3033647,Schima wallichii,,21,28,3
1774,309369,3033674,Shorea robusta,,47,29,4
1775,308545,3033340,Terminalia alata,,70,24,3
1776,307900,3033903,Trewia nudiflora,,73,23,4
1777,308385,3034071,Tsuga spp,,44,20,4
1778,308814,3033302,Terai spp,,89,30,3
1779,307914,3033190,Hill spp,,91,23,2
1780,308707,3033774,Abies spp,,18,29,3
1781,308601,3033678,Acacia catechu,,27,28,3
1782,309149,3033947,Adina cardifolia,,36,22,3
1783,309461,3033561,Albizia spp,,43,25,2
1784,309309,3033546,Alnus nepalensis,,75,30,3
1785,308474,3034113,Anogeissus latifolia,,57,22,2
1786,309141,3033207,Bombax ceiba,,23,28,1
1787,309183,3033473,Cedrela toona,,56,15,2
1788,309370,3033516,Dalbergia sissoo,,71,17,2
1789,308350,3034087,Eugenia Jambolana,,69,18,2
1790,308263,3033701,Hymenodictyon excelsum,,93,27,4
1791,309378,3033469,Lagerstroemia parviflora,,49,29,4
1792,309111,3033602,Michelia champaca,,82,24,2
1793,308854,3033577,Pinus roxburghii,,86,20,4
1794,308668,3033853,Pinus wallichiana,,50,24,3
1795,309268,3033309,Quercus spp,,42,22,4
1796,307851,3033142,Schima wallichii,,55,21,1
1797,308959,3033772,Shorea robusta,,24,16,4
1798,309266,3033407,Terminalia alata,,81,24,2
1799,308011,3033666,Trewia nudiflora,,26,24,2
1800,309253,3033163,Tsuga spp,,73,27,3
1801,308591,3034020,Terai spp,,18,17,3
1802,308162,3033700,Hill spp,,51,16,4
1803,308221,3033782,Abies spp,,54,26,4
1804,309343,3033378,Acacia catechu,,28,29,1
1805,308493,3033772,Adina cardifolia,,14,27,2
1806,308271,3033685,Albizia spp,,12,16,2
1807,309106,3033134,Alnus nepalensis,,24,25,4
1808,307961,3033179,Anogeissus latifolia,,96,23,3
1809,308102,3033583,Bombax ceiba,,72,15,2
1810,308934,3033403,Cedrela toona,,40,17,1
1811,308201,3034040,Abies spp,,93,15,1
1812,309277,3033832,Acacia catechu,,80,25,4
1813,308713,3033546,Adina cardifolia,,33,15,3
1814,307968,3033658,Albizia spp,,93,15,3
1815,308238,3033896,Alnus nepalensis,,76,30,1
1816,308039,3033472,Anogeissus latifolia,,41,16,4
1817,308256,3033861,Bombax ceiba,,94,24,1
1818,308730,3033516,Cedrela toona,,86,30,4
1819,309249,3033481,Dalbergia sissoo,,98,16,1
1820,308457,3033953,Eugenia Jambolana,,76,28,2
1821,309239,3033288,Hymenodictyon excelsum,,10,27,2
1822,308500,3034050,Lagerstroemia parviflora,,82,21,3
1823,308975,3033370,Michelia champaca,,45,25,1
1824,308184,3033879,Pinus roxburghii,,44,19,2
1825,308396,3033827,Pinus wallichiana,,73,25,1
1826,307894,3033441,Quercus spp,,92,30,4
1827,308945,3033508,Schima wallichii,,58,16,1
1828,308531,3034273,Shorea robusta,,48,17,4
1829,307625,3033292,Terminalia alata,,43,25,2
1830,309255,3033968,Trewia nudiflora,,68,29,2
1831,308345,3033801,Tsuga spp,,43,21,2
1832,308553,3034019,Terai spp,,99,22,2
1833,307594,3033426,Hill spp,,86,16,1
1834,308508,3033740,Abies spp,,48,15,1
1835,308567,3033522,Acacia catechu,,35,28,4
1836,307640,3033344,Adina cardifolia,,100,23,3
1837,308406,3034247,Albizia spp,,58,16,4
1838,307903,3033607,Alnus nepalensis,,77,20,2
1839,309075,3033423,Anogeissus latifolia,,26,18,3
1840,308542,3033488,Bombax ceiba,,62,22,3
1841,307958,3033479,Cedrela toona,,49,19,3
1842,309165,3033647,Dalbergia sissoo,,47,29,4
1843,307831,3033415,Eugenia Jambolana,,99,30,2
1844,309155,3033662,Hymenodictyon excelsum,,51,18,1
1845,308576,3033840,Lagerstroemia parviflora,,91,26,4
1846,309340,3033886,Michelia champaca,,58,16,4
1847,307706,3033481,Pinus roxburghii,,69,25,2
1848,309191,3033638,Pinus wallichiana,,69,28,3
1849,308392,3034188,Quercus spp,,19,26,4
1850,308553,3033789,Schima wallichii,,14,22,4
1851,309165,3033534,Shorea robusta,,97,26,4
1852,307878,3033173,Terminalia alata,,58,15,2
1853,308079,3033508,Trewia nudiflora,,24,27,1
1854,309262,3033238,Tsuga spp,,89,16,1
1855,308487,3033719,Terai spp,,66,24,1
1856,308814,3033396,Hill spp,,17,29,4
1857,308221,3034105,Abies spp,,78,26,1
1858,308454,3033875,Acacia catechu,,72,19,2
1859,308062,3033861,Adina cardifolia,,88,27,4
1860,308564,3033478,Albizia spp,,78,26,2
1861,307732,3033312,Alnus nepalensis,,40,23,3
1862,307478,3033421,Anogeissus latifolia,,68,25,1
1863,308853,3033275,Bombax ceiba,,49,25,3
1864,308592,3033287,Cedrela toona,,34,16,2
1865,308528,3034264,Abies spp,,93,28,1
1866,308319,3033700,Acacia catechu,,21,19,2
1867,308580,3033710,Adina cardifolia,,25,20,3
1868,308620,3033580,Albizia spp,,57,22,2
1869,309270,3033752,Alnus nepalensis,,10,15,1
1870,309196,3033115,Anogeissus latifolia,,51,27,1
1871,308816,3033567,Bombax ceiba,,45,27,2
1872,307969,3033571,Abies spp,,84,26,1
1873,307823,3033265,Acacia catechu,,48,30,3
1874,308760,3033851,Adina cardifolia,,96,25,1
1875,307547,3033387,Albizia spp,,85,23,4
1876,308567,3034079,Alnus nepalensis,,16,16,3
1877,309145,3033453,Anogeissus latifolia,,54,16,3
1878,308833,3033513,Bombax ceiba,,69,16,2
1879,308814,3033237,Cedrela toona,,22,23,2
1880,308524,3033314,Dalbergia sissoo,,69,21,1
1881,308853,3033441,Eugenia Jambolana,,66,18,4
1882,307881,3033574,Hymenodictyon excelsum,,72,23,1
1883,308783,3033529,Lagerstroemia parviflora,,18,28,3
1884,308748,3033585,Michelia champaca,,39,18,1
1885,308171,3034022,Pinus roxburghii,,82,18,4
1886,308710,3033792,Pinus wallichiana,,15,30,1
1887,308982,3033575,Quercus spp,,74,26,1
1888,308951,3033483,Schima wallichii,,98,16,3
1889,308128,3033673,Shorea robusta,,43,15,1
1890,308125,3034103,Terminalia alata,,47,20,3
1891,308698,3033904,Trewia nudiflora,,83,21,2
1892,308319,3034263,Tsuga spp,,95,25,3
1893,309404,3033600,Terai spp,,61,24,3
1894,308157,3033739,Hill spp,,35,18,3
1895,307586,3033405,Abies spp,,83,16,4
1896,309075,3033906,Acacia catechu,,51,23,1
1897,308981,3033520,Adina cardifolia,,44,24,2
1898,308279,3033959,Albizia spp,,52,25,1
1899,308367,3033959,Alnus nepalensis,,98,17,1
1900,308394,3034137,Anogeissus latifolia,,29,27,4
1901,309207,3033578,Bombax ceiba,,21,26,4
1902,308041,3033974,Cedrela toona,,64,28,3
1903,308223,3034018,Dalbergia sissoo,,32,22,4
1904,308335,3033845,Eugenia Jambolana,,94,28,3
1905,308796,3033388,Hymenodictyon excelsum,,30,17,4
1906,309033,3033369,Lagerstroemia parviflora,,77,29,2
1907,309027,3033212,Michelia champaca,,92,19,3
1908,309413,3033730,Pinus roxburghii,,12,17,2
1909,308564,3033717,Pinus wallichiana,,45,23,3
1910,309053,3033708,Quercus spp,,53,24,3
1911,307575,3033409,Schima wallichii,,64,29,2
1912,307411,3033321,Shorea robusta,,73,24,2
1913,308312,3033869,Terminalia alata,,51,30,2
1914,307934,3033859,Trewia nudiflora,,33,21,3
1915,308178,3034014,Tsuga spp,,22,29,4
1916,308957,3033742,Terai spp,,40,19,4
1917,309402,3033722,Hill spp,,85,19,4
1918,309082,3033491,Abies spp,,78,22,2
1919,308274,3033699,Acacia catechu,,89,25,3
1920,308559,3033330,Adina cardifolia,,76,29,3
1921,308570,3034036,Albizia spp,,91,29,1
1922,308671,3033359,Alnus nepalensis,,96,27,3
1923,308091,3033598,Anogeissus latifolia,,34,30,4
1924,309146,3033307,Bombax ceiba,,54,18,1
1925,308823,3033499,Cedrela toona,,39,30,2
1926,309018,3033139,Abies spp,,36,23,4
1927,308985,3033761,Acacia catechu,,29,23,3
1928,309193,3033944,Adina cardifolia,,78,19,3
1929,308735,3033395,Albizia spp,,97,22,2
1930,308648,3033901,Alnus nepalensis,,23,18,2
1931,308310,3034208,Anogeissus latifolia,,86,24,1
1932,309140,3033571,Bombax ceiba,,54,21,1
1933,309083,3033584,Cedrela toona,,27,16,2
1934,308027,3033780,Dalbergia sissoo,,48,28,4
1935,309141,3033318,Eugenia Jambolana,,19,23,4
1936,308738,3033866,Hymenodictyon excelsum,,70,20,4
1937,308346,3033927,Lagerstroemia parviflora,,24,29,2
1938,308518,3033742,Michelia champaca,,47,22,4
1939,309100,3033741,Pinus roxburghii,,11,16,2
1940,308823,3033783,Pinus wallichiana,,24,21,2
1941,307938,3033644,Quercus spp,,31,26,4
1942,307741,3033348,Schima wallichii,,25,19,1
1943,307933,3033624,Shorea robusta,,64,26,3
1944,308834,3033747,Terminalia alata,,51,19,1
1945,309442,3033623,Trewia nudiflora,,28,22,4
1946,309326,3033547,Tsuga spp,,90,21,2
1947,308021,3033965,Terai spp,,96,19,3
1948,309344,3033455,Hill spp,,57,19,3
1949,308984,3033312,Abies spp,,74,16,3
1950,308431,3034153,Acacia catechu,,11,20,4
1951,307618,3033228,Adina cardifolia,,45,20,3
1952,308515,3033833,Albizia spp,,21,20,3
1953,308616,3033190,Alnus nepalensis,,25,23,1
1954,307996,3033486,Anogeissus latifolia,,11,26,2
1955,309116,3033495,Bombax ceiba,,82,27,3
1956,308103,3033971,Cedrela toona,,54,15,1
1957,308445,3034170,Dalbergia sissoo,,53,26,2
1958,309093,3033453,Eugenia Jambolana,,60,21,3
1959,307469,3033372,Hymenodictyon excelsum,,37,18,3
1960,309298,3033627,Lagerstroemia parviflora,,88,16,2
1961,307826,3033457,Michelia champaca,,33,24,1
1962,308910,3033746,Pinus roxburghii,,38,20,3
1963,307951,3033424,Pinus wallichiana,,74,23,2
1964,308650,3033891,Quercus spp,,84,19,4
1965,307779,3033314,Schima wallichii,,58,23,2
1966,308789,3033334,Shorea robusta,,31,20,3
1967,308438,3034137,Terminalia alata,,72,21,3
1968,308059,3033405,Trewia nudiflora,,37,15,3
1969,308446,3033568,Tsuga spp,,42,15,2
1970,308001,3033723,Terai spp,,45,17,1
1971,307701,3033212,Hill spp,,44,16,4
1972,309204,3033618,Abies spp,,20,26,4
1973,308274,3033734,Acacia catechu,,43,16,3
1974,307790,3033307,Adina cardifolia,,54,26,4
1975,308049,3033732,Albizia spp,,63,30,2
1976,307572,3033311,Alnus nepalensis,,16,23,1
1977,308550,3033470,Anogeissus latifolia,,14,26,2
1978,307646,3033395,Bombax ceiba,,68,18,4
1979,308188,3034191,Cedrela toona,,69,25,4
1980,308809,3033755,Abies spp,,63,28,3
1981,309181,3033527,Acacia catechu,,82,24,4
1982,308513,3033386,Adina cardifolia,,22,15,4
1983,308580,3034022,Albizia spp,,52,19,2
1984,307873,3033269,Alnus nepalensis,,77,15,2
1985,308119,3033748,Anogeissus latifolia,,71,29,3
1986,309135,3033166,Bombax ceiba,,62,23,2
1987,307924,3033392,Cedrela toona,,20,15,2
1988,308847,3033542,Dalbergia sissoo,,29,26,4
1989,308365,3033704,Eugenia Jambolana,,24,27,1
1990,308947,3033594,Hymenodictyon excelsum,,87,27,2
1991,307652,3033310,Lagerstroemia parviflora,,26,21,4
1992,309080,3033818,Michelia champaca,,84,16,4
1993,309165,3033169,Pinus roxburghii,,16,15,2
1994,308295,3033931,Pinus wallichiana,,64,21,3
1995,309175,3033764,Quercus spp,,36,23,4
1996,308649,3033781,Schima wallichii,,58,27,2
1997,307997,3033652,Shorea robusta,,20,28,4
1998,309313,3033344,Terminalia alata,,45,22,4
1999,308742,3033567,Trewia nudiflora,,18,25,1
2000,307672,3033326,Tsuga spp,,38,18,2
2001,308027,3033959,Terai spp,,78,21,4
2002,308899,3033845,Hill spp,,95,27,1
2003,307663,3033480,Abies spp,,62,26,2
2004,309060,3033858,Acacia catechu,,97,21,4
2005,309369,3033478,Adina cardifolia,,30,30,4
2006,308074,3033652,Albizia spp,,70,22,1
2007,308578,3033582,Alnus nepalensis,,59,23,1
2008,308783,3033840,Anogeissus latifolia,,71,17,2
2009,307968,3033325,Bombax ceiba,,77,20,1
2010,308588,3033476,Cedrela toona,,52,29,4
2011,307861,3033132,Dalbergia sissoo,,92,19,1
2012,307876,3033753,Eugenia Jambolana,,76,23,1
2013,308366,3034006,Hymenodictyon excelsum,,66,29,1
2014,308587,3034126,Lagerstroemia parviflora,,26,23,1
2015,308750,3033423,Michelia champaca,,27,29,3
2016,309119,3033189,Pinus roxburghii,,26,26,1
2017,308497,3033581,Pinus wallichiana,,69,16,2
2018,308549,3034081,Quercus spp,,37,26,2
2019,307956,3033696,Schima wallichii,,46,23,3
2020,308787,3033490,Shorea robusta,,82,16,1
2021,309186,3033153,Terminalia alata,,68,18,3
2022,308846,3033542,Trewia nudiflora,,98,15,3
2023,308632,3033717,Tsuga spp,,73,27,1
2024,309182,3033228,Terai spp,,48,25,3
2025,307902,3033310,Hill spp,,24,20,2
2026,308506,3033296,Abies spp,,54,22,3
2027,308806,3033307,Acacia catechu,,84,22,2
2028,309156,3033440,Adina cardifolia,,34,22,1
2029,307460,3033384,Albizia spp,,12,19,1
2030,308504,3033837,Alnus nepalensis,,99,16,2
2031,308400,3034300,Anogeissus latifolia,,71,21,2
2032,308503,3034154,Bombax ceiba,,30,15,2
2033,308765,3033553,Cedrela toona,,91,29,3
2034,308092,3034015,Abies spp,,26,22,2
2035,308231,3033772,Acacia catechu,,59,16,3
2036,307815,3033268,Adina cardifolia,,88,23,2
2037,309340,3033660,Albizia spp,,55,15,4
2038,308760,3033284,Alnus nepalensis,,53,20,1
2039,308846,3033839,Anogeissus latifolia,,89,19,4
2040,308181,3033794,Bombax ceiba,,21,23,2
2041,308200,3033846,Cedrela toona,,31,15,4
2042,307663,3033393,Dalbergia sissoo,,94,29,2
2043,308402,3034098,Eugenia Jambolana,,94,20,3
2044,308972,3033727,Hymenodictyon excelsum,,92,22,2
2045,308573,3033856,Lagerstroemia parviflora,,82,28,4
2046,308380,3034302,Michelia champaca,,15,26,3
2047,309255,3033768,Pinus roxburghii,,30,19,1
2048,307970,3033382,Pinus wallichiana,,56,21,1
2049,308942,3033425,Quercus spp,,86,29,3
2050,308412,3034009,Schima wallichii,,57,25,4
2051,308329,3033967,Shorea robusta,,82,18,3
2052,309325,3033939,Terminalia alata,,100,21,1
2053,309227,3033340,Trewia nudiflora,,75,29,2
2054,308820,3033295,Tsuga spp,,15,21,3
2055,308056,3033898,Terai spp,,63,25,2
2056,309334,3033782,Hill spp,,71,17,4
2057,308463,3033876,Abies spp,,14,24,3
2058,308869,3033784,Acacia catechu,,14,24,3
2059,308614,3033847,Adina cardifolia,,73,30,1
2060,308245,3033911,Albizia spp,,78,28,4
2061,307512,3033394,Abies spp,,73,28,3
2062,309122,3033390,Acacia catechu,,25,20,3
2063,309026,3033883,Adina cardifolia,,12,20,2
2064,309420,3033684,Albizia spp,,40,23,3
2065,309351,3033709,Alnus nepalensis,,41,24,2
2066,309015,3033470,Anogeissus latifolia,,17,23,1
2067,308933,3033409,Bombax ceiba,,95,27,1
2068,309082,3033592,Cedrela toona,,49,20,1
2069,307873,3033373,Dalbergia sissoo,,100,23,1
2070,307968,3033192,Eugenia Jambolana,,30,22,3
2071,307953,3033541,Hymenodictyon excelsum,,23,23,3
2072,308277,3033739,Lagerstroemia parviflora,,27,16,4
2073,307879,3033139,Michelia champaca,,98,17,2
2074,307829,3033188,Pinus roxburghii,,65,16,1
2075,307932,3033102,Pinus wallichiana,,24,21,3
2076,307953,3033737,Quercus spp,,12,27,2
2077,307678,3033179,Schima wallichii,,28,15,1
2078,308051,3033984,Shorea robusta,,77,28,1
2079,308592,3033529,Terminalia alata,,32,24,3
2080,308308,3033718,Trewia nudiflora,,70,27,1
2081,308811,3033534,Tsuga spp,,19,15,3
2082,309322,3033763,Terai spp,,85,27,2
2083,308732,3033363,Hill spp,,36,25,4
2084,309370,3033691,Abies spp,,46,23,3
2085,308044,3033817,Acacia catechu,,13,21,2
2086,307929,3033584,Adina cardifolia,,11,22,2
2087,307922,3033814,Albizia spp,,72,30,4
2088,308398,3033719,Alnus nepalensis,,100,29,2
2089,308861,3033712,Anogeissus latifolia,,91,18,4
2090,308809,3033377,Bombax ceiba,,80,27,3
2091,308524,3034168,Cedrela toona,,17,22,4
2092,308682,3033704,Dalbergia sissoo,,54,15,2
2093,307924,3033677,Eugenia Jambolana,,85,25,2
2094,307994,3033866,Hymenodictyon excelsum,,36,23,1
2095,309304,3033793,Lagerstroemia parviflora,,65,28,1
2096,308309,3033655,Michelia champaca,,90,19,3
2097,308259,3033617,Pinus roxburghii,,83,17,4
2098,308141,3033847,Pinus wallichiana,,24,30,2
2099,308689,3033539,Quercus spp,,19,27,4
2100,307523,3033326,Schima wallichii,,99,26,3
2101,307822,3033301,Shorea robusta,,88,27,2
2102,307638,3033366,Terminalia alata,,74,29,3
2103,308462,3034145,Trewia nudiflora,,75,15,3
2104,308078,3033976,Tsuga spp,,30,29,1
2105,308246,3033957,Terai spp,,69,27,4
2106,309114,3033636,Hill spp,,54,29,1
2107,308835,3033469,Abies spp,,74,18,1
2108,308703,3033654,Acacia catechu,,22,25,2
2109,309107,3033632,Adina cardifolia,,66,21,3
2110,308138,3034112,Albizia spp,,61,25,4
2111,308458,3033625,Alnus nepalensis,,56,21,2
2112,308373,3034017,Anogeissus latifolia,,78,17,4
2113,309224,3033878,Bombax ceiba,,35,18,3
2114,308640,3033978,Cedrela toona,,59,26,4
2115,308136,3033900,Abies spp,,26,25,2
2116,309217,3033277,Acacia catechu,,61,29,4
2117,308868,3033782,Adina cardifolia,,17,27,2
2118,308292,3033720,Albizia spp,,54,30,4
2119,308990,3033752,Alnus nepalensis,,16,27,4
2120,308689,3033438,Anogeissus latifolia,,75,26,1
2121,308126,3033524,Bombax ceiba,,49,25,1
2122,308450,3033582,Cedrela toona,,75,26,1
2123,309168,3033645,Dalbergia sissoo,,83,24,2
2124,308452,3034081,Eugenia Jambolana,,14,28,1
2125,308651,3033603,Hymenodictyon excelsum,,43,19,2
2126,308205,3033655,Lagerstroemia parviflora,,89,24,3
2127,308288,3033755,Michelia champaca,,38,26,4
2128,308643,3033784,Pinus roxburghii,,91,23,2
2129,309196,3033492,Pinus wallichiana,,59,16,1
2130,308595,3033258,Quercus spp,,66,18,4
2131,307875,3033255,Schima wallichii,,39,23,3
2132,308965,3033872,Shorea robusta,,95,26,2
2133,309008,3033509,Terminalia alata,,84,19,3
2134,308666,3033337,Trewia nudiflora,,37,18,3
2135,308193,3033628,Tsuga spp,,16,15,2
2136,307883,3033468,Terai spp,,11,27,1
2137,308593,3034129,Hill spp,,13,24,1
2138,308607,3033649,Abies spp,,68,22,1
2139,308820,3033581,Acacia catechu,,57,27,4
2140,307790,3033244,Adina cardifolia,,86,18,1
2141,307682,3033407,Albizia spp,,91,26,2
2142,308597,3033790,Alnus nepalensis,,15,15,4
2143,307567,3033313,Anogeissus latifolia,,11,25,3
2144,308230,3033593,Bombax ceiba,,53,19,4
2145,309102,3033635,Cedrela toona,,43,19,2
2146,308228,3033781,Dalbergia sissoo,,81,24,3
2147,307778,3033486,Eugenia Jambolana,,55,22,2
2148,308949,3033730,Hymenodictyon excelsum,,38,19,3
2149,308324,3033720,Lagerstroemia parviflora,,43,15,2
2150,308361,3034062,Michelia champaca,,53,26,1
2151,307493,3033352,Pinus roxburghii,,93,20,1
2152,308648,3033505,Pinus wallichiana,,38,29,3
2153,308780,3033228,Quercus spp,,96,26,3
2154,308391,3033576,Schima wallichii,,85,26,1
2155,308002,3033746,Shorea robusta,,89,17,3
2156,308157,3033888,Terminalia alata,,13,23,3
2157,309168,3033297,Trewia nudiflora,,92,20,1
2158,308328,3033699,Tsuga spp,,32,27,1
2159,308943,3033560,Terai spp,,83,22,2
2160,308412,3033632,Hill spp,,78,25,3
2161,309204,3033144,Abies spp,,25,15,3
2162,309267,3033743,Acacia catechu,,47,16,4
2163,309290,3033514,Adina cardifolia,,71,25,4
2164,309389,3033520,Albizia spp,,32,23,2
2165,308273,3034039,Alnus nepalensis,,84,29,1
2166,308954,3033654,Anogeissus latifolia,,10,24,1
2167,307616,3033315,Bombax ceiba,,73,26,2
2168,308541,3034168,Cedrela toona,,33,20,3
2169,307642,3033375,Abies spp,,99,16,4
2170,308047,3033718,Acacia catechu,,28,22,2
2171,309000,3033577,Adina cardifolia,,94,19,4
2172,308148,3033952,Albizia spp,,84,25,4
2173,309001,3033611,Alnus nepalensis,,21,20,1
2174,308678,3033619,Anogeissus latifolia,,100,17,2
2175,307913,3033143,Bombax ceiba,,26,29,2
2176,308113,3033559,Cedrela toona,,64,18,4
2177,308673,3033737,Dalbergia sissoo,,92,30,1
2178,308609,3033284,Eugenia Jambolana,,78,23,1
2179,308585,3033435,Hymenodictyon excelsum,,49,23,1
2180,309126,3033751,Lagerstroemia parviflora,,45,17,3
2181,309121,3033162,Michelia champaca,,31,18,2
2182,308084,3033638,Pinus roxburghii,,86,25,2
2183,307549,3033418,Pinus wallichiana,,18,28,1
2184,308555,3033957,Quercus spp,,14,25,2
2185,309135,3033425,Schima wallichii,,24,27,3
2186,307814,3033518,Shorea robusta,,77,16,2
2187,308402,3034017,Terminalia alata,,40,30,4
2188,308562,3034001,Trewia nudiflora,,38,28,4
2189,308524,3033262,Tsuga spp,,27,17,3
2190,308894,3033512,Terai spp,,14,27,1
2191,309179,3033168,Hill spp,,57,27,3
2192,308635,3034063,Abies spp,,75,30,4
2193,308452,3034228,Acacia catechu,,79,17,3
2194,308304,3034020,Adina cardifolia,,34,17,2
2195,308660,3033758,Albizia spp,,36,30,4
2196,307636,3033425,Alnus nepalensis,,51,22,2
2197,308751,3033582,Anogeissus latifolia,,42,25,1
2198,309036,3033425,Bombax ceiba,,81,18,3
2199,309151,3033405,Cedrela toona,,63,16,4
2200,308055,3034033,Dalbergia sissoo,,10,28,2
2201,309286,3033918,Eugenia Jambolana,,39,21,4
2202,308454,3033971,Hymenodictyon excelsum,,10,27,2
2203,308938,3033495,Lagerstroemia parviflora,,68,20,3
2204,309267,3033199,Michelia champaca,,97,21,4
2205,308162,3033875,Pinus roxburghii,,41,24,2
2206,308484,3033615,Pinus wallichiana,,15,26,3
2207,309352,3033502,Quercus spp,,13,28,3
2208,309378,3033609,Schima wallichii,,70,27,2
2209,308569,3033497,Shorea robusta,,85,16,2
2210,308747,3033160,Terminalia alata,,64,18,3
2211,308275,3033548,Trewia nudiflora,,87,15,2
2212,308196,3033786,Tsuga spp,,23,27,3
2213,309049,3033548,Terai spp,,74,17,3
2214,308551,3033571,Hill spp,,63,26,2
2215,309241,3033112,Abies spp,,56,29,1
2216,309105,3033530,Acacia catechu,,14,18,3
2217,308315,3033837,Adina cardifolia,,84,28,2
2218,307923,3033227,Albizia spp,,49,29,2
2219,309180,3033957,Alnus nepalensis,,74,23,3
2220,309211,3033865,Anogeissus latifolia,,82,20,2
2221,309352,3033374,Bombax ceiba,,53,24,2
2222,308725,3033343,Cedrela toona,,75,28,3
2223,308640,3033336,Abies spp,,94,24,3
2224,308065,3033478,Acacia catechu,,88,20,3
2225,308017,3033726,Adina cardifolia,,54,30,1
2226,308025,3033351,Albizia spp,,92,15,1
2227,309305,3033499,Alnus nepalensis,,89,15,2
2228,308990,3033400,Anogeissus latifolia,,73,18,4
2229,309207,3033108,Bombax ceiba,,87,28,1
2230,308668,3033757,Cedrela toona,,56,19,2
2231,308763,3033277,Dalbergia sissoo,,48,23,2
2232,308012,3033429,Eugenia Jambolana,,87,21,1
2233,309210,3033320,Hymenodictyon excelsum,,26,20,4
2234,309010,3033886,Lagerstroemia parviflora,,79,20,2
2235,307675,3033367,Michelia champaca,,69,27,1
2236,308479,3034262,Pinus roxburghii,,55,17,4
2237,307812,3033307,Pinus wallichiana,,39,19,2
2238,309410,3033736,Quercus spp,,89,28,3
2239,308155,3033805,Schima wallichii,,18,28,1
2240,309179,3033139,Shorea robusta,,16,27,4
2241,307890,3033712,Terminalia alata,,28,28,1
2242,308606,3033482,Trewia nudiflora,,42,30,1
2243,307701,3033172,Tsuga spp,,32,15,4
2244,308348,3033815,Terai spp,,56,16,2
2245,309092,3033513,Hill spp,,93,26,1
2246,307960,3033513,Abies spp,,11,16,1
2247,307594,3033262,Acacia catechu,,31,30,3
2248,307790,3033509,Adina cardifolia,,24,18,1
2249,308339,3034232,Albizia spp,,70,28,3
2250,307991,3034062,Alnus nepalensis,,32,23,4
2251,307856,3033331,Anogeissus latifolia,,97,27,3
2252,307878,3033552,Bombax ceiba,,22,22,1
2253,307936,3033983,Cedrela toona,,22,28,1
2254,307876,3033400,Dalbergia sissoo,,79,22,3
2255,308044,3034010,Eugenia Jambolana,,37,20,3
2256,309260,3033189,Hymenodictyon excelsum,,71,28,2
2257,308864,3033503,Lagerstroemia parviflora,,43,27,1
2258,308098,3033456,Michelia champaca,,79,16,2
2259,308042,3033976,Pinus roxburghii,,35,25,2
2260,309177,3033142,Pinus wallichiana,,52,19,4
2261,309309,3033642,Quercus spp,,95,20,2
2262,308132,3033940,Schima wallichii,,26,19,1
2263,307819,3033327,Shorea robusta,,40,24,4
2264,308384,3033652,Terminalia alata,,38,27,1
2265,309271,3033869,Trewia nudiflora,,57,28,4
2266,308759,3033481,Tsuga spp,,26,18,2
2267,308899,3033479,Terai spp,,65,19,2
2268,309075,3033613,Hill spp,,98,16,2
2269,308240,3034057,Abies spp,,41,29,3
2270,309246,3033645,Acacia catechu,,73,18,2
2271,308013,3033381,Adina cardifolia,,43,28,3
2272,308092,3033825,Albizia spp,,60,29,4
2273,308078,3033899,Alnus nepalensis,,29,15,3
2274,308805,3033287,Anogeissus latifolia,,42,23,4
2275,308054,3033488,Bombax ceiba,,77,19,4
2276,308415,3033694,Cedrela toona,,26,17,4
2277,308816,3033327,Abies spp,,24,23,4
2278,307964,3033969,Acacia catechu,,15,19,3
2279,308042,3033999,Adina cardifolia,,35,25,4
2280,308200,3033884,Albizia spp,,40,17,4
2281,309428,3033493,Alnus nepalensis,,92,23,2
2282,308422,3034214,Anogeissus latifolia,,94,29,3
2283,309112,3033275,Bombax ceiba,,83,16,2
2284,308365,3033923,Abies spp,,90,20,2
2285,309260,3033720,Acacia catechu,,95,30,1
2286,308860,3033659,Adina cardifolia,,19,15,2
2287,307417,3033412,Albizia spp,,90,28,4
2288,309232,3033668,Alnus nepalensis,,79,21,3
2289,308147,3033558,Anogeissus latifolia,,10,29,3
2290,308647,3033353,Bombax ceiba,,40,25,1
